model_name,reasoning_effort,batch_file,file_id,object,bytes,created_at,purpose,uploaded_filename,batch_id,completion_window,metadata
gpt-4.1-2025-04-14,,gpt-4.1-2025-04-14-None-batch.jsonl,file-33BbzRejxDpGzam7b8g6Xy,file,504030,1771365654,batch,gpt-4.1-2025-04-14-None-batch.jsonl,batch_6994e516a7608190afdb6340157add6d,24h,{'description': 'Batch submit for gpt-4.1-2025-04-14-None-batch.jsonl at 2026-02-17T17:00:54.374500'}
gpt-5-mini-2025-08-07,minimal,gpt-5-mini-2025-08-07-minimal-batch.jsonl,file-8eGkkyosJMQe6Rw5AcY3SF,file,513966,1771365655,batch,gpt-5-mini-2025-08-07-minimal-batch.jsonl,batch_6994e5172a8c8190ba27ff3b419030b1,24h,{'description': 'Batch submit for gpt-5-mini-2025-08-07-minimal-batch.jsonl at 2026-02-17T17:00:55.089263'}
gpt-5-mini-2025-08-07,low,gpt-5-mini-2025-08-07-low-batch.jsonl,file-UXfjCh2w8aNx5tkqF9VnDb,file,511758,1771365655,batch,gpt-5-mini-2025-08-07-low-batch.jsonl,batch_6994e5179d80819081d3ee236fa8bcd3,24h,{'description': 'Batch submit for gpt-5-mini-2025-08-07-low-batch.jsonl at 2026-02-17T17:00:55.520274'}
gpt-5-mini-2025-08-07,medium,gpt-5-mini-2025-08-07-medium-batch.jsonl,file-KV6LMdZsvMauE2vV5Hacw1,file,513414,1771365655,batch,gpt-5-mini-2025-08-07-medium-batch.jsonl,batch_6994e517f1588190a69d8a469f797ee1,24h,{'description': 'Batch submit for gpt-5-mini-2025-08-07-medium-batch.jsonl at 2026-02-17T17:00:55.734540'}
gpt-5.2-2025-12-11,none,gpt-5.2-2025-12-11-none-batch.jsonl,file-Nqi27Yn4HdUQnQQPPw86FS,file,508998,1771365656,batch,gpt-5.2-2025-12-11-none-batch.jsonl,batch_6994e5182af081909b86f6c42d36d364,24h,{'description': 'Batch submit for gpt-5.2-2025-12-11-none-batch.jsonl at 2026-02-17T17:00:56.071124'}
gpt-5.2-2025-12-11,low,gpt-5.2-2025-12-11-low-batch.jsonl,file-9zCq58xicf1rVPRZ8zvzKR,file,508446,1771365656,batch,gpt-5.2-2025-12-11-low-batch.jsonl,batch_6994e518a1988190a46cd3c7d07b73d1,24h,{'description': 'Batch submit for gpt-5.2-2025-12-11-low-batch.jsonl at 2026-02-17T17:00:56.545325'}
gpt-5.2-2025-12-11,medium,gpt-5.2-2025-12-11-medium-batch.jsonl,file-73bZH8C69rABdtM2SXNNn9,file,510102,1771365656,batch,gpt-5.2-2025-12-11-medium-batch.jsonl,batch_6994e518e5388190bb66defb6bd3ebe6,24h,{'description': 'Batch submit for gpt-5.2-2025-12-11-medium-batch.jsonl at 2026-02-17T17:00:56.814807'}
