model_name,reasoning_effort,batch_file,file_id,object,bytes,created_at,purpose,response_filename,batch_id,completion_window,metadata
gpt-5-mini-2025-08-07,minimal,gpt-5-mini-2025-08-07-minimal-batch.jsonl,file-6CR2sAeXgWmEbkWh7Y2ASz,file,499614,1771186475,batch,gpt-5-mini-2025-08-07-minimal-batch.jsonl,batch_6992292b07508190a7ae3dffe099513b,24h,{'description': 'Batch submit for gpt-5-mini-2025-08-07-minimal-batch.jsonl at 2026-02-15T15:14:34.722130'}
gpt-5-mini-2025-08-07,low,gpt-5-mini-2025-08-07-low-batch.jsonl,file-N8Zuf8GZz8oQhypN8tRvKu,file,497406,1771186475,batch,gpt-5-mini-2025-08-07-low-batch.jsonl,batch_6992292b53908190821ca2f0cd4b8358,24h,{'description': 'Batch submit for gpt-5-mini-2025-08-07-low-batch.jsonl at 2026-02-15T15:14:35.084046'}
gpt-5-mini-2025-08-07,medium,gpt-5-mini-2025-08-07-medium-batch.jsonl,file-Se79VU75vnGqZzo4ZEs5iX,file,499062,1771186475,batch,gpt-5-mini-2025-08-07-medium-batch.jsonl,batch_6992292b88e48190a45c0d524144f8dc,24h,{'description': 'Batch submit for gpt-5-mini-2025-08-07-medium-batch.jsonl at 2026-02-15T15:14:35.416352'}
gpt-5.2-2025-12-11,none,gpt-5.2-2025-12-11-none-batch.jsonl,file-ESbzHZLmUaLxMEzJoUVgCN,file,494646,1771186475,batch,gpt-5.2-2025-12-11-none-batch.jsonl,batch_6992292bfb308190b25f1b868298c992,24h,{'description': 'Batch submit for gpt-5.2-2025-12-11-none-batch.jsonl at 2026-02-15T15:14:35.740801'}
gpt-5.2-2025-12-11,low,gpt-5.2-2025-12-11-low-batch.jsonl,file-3fzvXyv4ahMEn1v6K1bFeN,file,494094,1771186476,batch,gpt-5.2-2025-12-11-low-batch.jsonl,batch_6992292c52d48190931b2a79c1d7ffa8,24h,{'description': 'Batch submit for gpt-5.2-2025-12-11-low-batch.jsonl at 2026-02-15T15:14:36.209600'}
gpt-5.2-2025-12-11,medium,gpt-5.2-2025-12-11-medium-batch.jsonl,file-JqxQdFBoeKZB7cEfupegMx,file,495750,1771186476,batch,gpt-5.2-2025-12-11-medium-batch.jsonl,batch_6992292c869881909ea5336a546bd41b,24h,{'description': 'Batch submit for gpt-5.2-2025-12-11-medium-batch.jsonl at 2026-02-15T15:14:36.381558'}
